ipo_date,ticker,company_name,offer_price,Current,first_day_return_pct,scrape_year,underpricing,first_day_close,sector,industry,exchange,risk_factors_path,mda_path,full_text_path
2020-10-28,ACIC,Atlas Crest Investment Corp.,10.0,$9.48,-5.2,2020,-0.052,9.48,,,,data/raw/s1_filings/ACIC_2020-10-28_risk_factors.txt,data/raw/s1_filings/ACIC_2020-10-28_mda.txt,data/raw/s1_filings/ACIC_2020-10-28.txt
2020-10-28,AJAX,Ajax I,10.0,$8.72,-12.8,2020,-0.128,8.72,,,,,,
2020-10-28,BDSX,"Biodesix, Inc.",18.0,$10.30,-40.89,2020,-0.4089,10.6398,,,,data/raw/s1_filings/BDSX_2020-10-28_risk_factors.txt,data/raw/s1_filings/BDSX_2020-10-28_mda.txt,data/raw/s1_filings/BDSX_2020-10-28.txt
2020-10-28,BOAC,Bluescape Opportunities Acquisition Corp.,10.0,$10.03,0.3,2020,0.003,10.03,,,,,,
2020-10-28,GATO,"Gatos Silver, Inc.",7.0,$14.40,105.71,2020,1.0571,14.3997,,,,,,
2020-10-28,MAX,"MediaAlpha, Inc.",19.0,$10.06,-49.47,2020,-0.4947,9.600700000000002,,,,data/raw/s1_filings/MAX_2020-10-28_risk_factors.txt,data/raw/s1_filings/MAX_2020-10-28_mda.txt,data/raw/s1_filings/MAX_2020-10-28.txt
2020-10-28,ROOT,"Root, Inc.",27.0,$56.36,113.63,2020,1.1363,57.6801,,,,data/raw/s1_filings/ROOT_2020-10-28_risk_factors.txt,data/raw/s1_filings/ROOT_2020-10-28_mda.txt,data/raw/s1_filings/ROOT_2020-10-28.txt
2020-10-27,LUXA,Lux Health Tech Acquisition Corp.,10.0,$10.04,0.4,2020,0.004,10.04,,,,,,
2020-10-27,MACU,Mallard Acquisition Corp.,10.0,$10.09,0.9,2020,0.009,10.09,,,,,,
2020-10-23,ACAC,Acies Acquisition Corp.,10.0,$8.39,-16.1,2020,-0.161,8.39,,,,,,
2020-10-23,ATAC,Altimar Acquisition Corp.,10.0,$10.01,0.1,2020,0.001,10.009999999999998,,,,,,
2020-10-23,EUCR,Eucrates Biomedical Acquisition Corp.,10.0,$10.04,0.4,2020,0.004,10.04,,,,,,
2020-10-23,FHTX,Foghorn Therapeutics Inc.,16.0,$5.44,-66.0,2020,-0.66,5.44,,,,data/raw/s1_filings/FHTX_2020-10-23_risk_factors.txt,data/raw/s1_filings/FHTX_2020-10-23_mda.txt,data/raw/s1_filings/FHTX_2020-10-23.txt
2020-10-22,ABCM,Abcam PLC,17.5,$23.99,37.09,2020,0.3709,23.99075,,,,,,
2020-10-22,BLSA,BCLS Acquisition Corp.,10.0,$10.04,0.4,2020,0.004,10.04,,,,,,
2020-10-22,CTAC,Cerberus Telecom Acquisition Corp.,10.0,$7.81,-21.9,2020,-0.2189999999999999,7.81,,,,,,
2020-10-22,GHLD,Guild Holdings Company,15.0,$20.01,33.4,2020,0.3339999999999999,20.01,,,,,,
2020-10-22,MCFE,McAfee Corp.,20.0,$25.99,29.95,2020,0.2995,25.99,,,,,,
2020-10-22,RICE,Rice Acquisition Corp.,10.0,$18.27,82.7,2020,0.8270000000000001,18.27,,,,,,
2020-10-22,TEKK,Tekkorp Digital Acquisition Corp.,10.0,$10.04,0.4,2020,0.004,10.04,,,,,,
2020-10-22,YSAC,Yellowstone Acquisition Company,10.0,$8.67,-13.3,2020,-0.133,8.67,,,,,,
2020-10-21,HIGA,H.I.G. Acquisition Corp.,10.0,$10.04,0.4,2020,0.004,10.04,,,,,,
2020-10-21,LFTR,Lefteris Acquisition Corp.,10.0,$10.05,0.5,2020,0.005,10.05,,,,,,
2020-10-21,MSP,Datto Holding Corp.,27.0,$35.18,30.3,2020,0.303,35.181,,,,,,
2020-10-21,SPNV,"Supernova Partners Acquisition Company, Inc.",10.0,$8.80,-12.0,2020,-0.12,8.8,,,,,,
2020-10-21,SRSA,Sarissa Capital Acquisition Corp.,10.0,$10.05,0.5,2020,0.005,10.05,,,,,,
2020-10-21,XPOA,"DPCM Capital, Inc.",10.0,$8.66,-13.4,2020,-0.134,8.66,,,,,,
2020-10-21,YGMZ,MingZhu Logistics Holdings Limited,4.0,$0.02,-99.46,2020,-0.9946,0.0216000000000002,,,,,,
2020-10-20,DCRB,Decarbonization Plus Acquisition Corporation,10.0,$10.33,3.3,2020,0.033,10.329999999999998,,,,,,
2020-10-20,GWAC,Good Works Acquisition Corp.,10.0,$10.50,5.0,2020,0.05,10.5,,,,,,
2020-10-20,HLXA,Helix Acquisition Corp.,10.0,$13.25,32.5,2020,0.325,13.25,,,,,,
2020-10-20,HZON,Horizon Acquisition Corporation II,10.0,$11.33,13.25,2020,0.1325,11.325,,,,,,
2020-10-16,ALGS,"Aligos Therapeutics, Inc.",15.0,$6.54,-57.33,2020,-0.5733,6.400499999999999,,,,data/raw/s1_filings/ALGS_2020-10-16_risk_factors.txt,data/raw/s1_filings/ALGS_2020-10-16_mda.txt,data/raw/s1_filings/ALGS_2020-10-16.txt
2020-10-16,BTWN,Bridgetown Holdings Limited,10.0,-,,2020,,,,,,,,
2020-10-16,EAR,"Eargo, Inc.",18.0,$2.57,-85.72,2020,-0.8572,2.5704000000000007,,,,,,
2020-10-16,KRBP,"Kiromic BioPharma, Inc.",12.0,$2.03,-83.08,2020,-0.8308,2.0304,,,,,,
2020-10-16,OPT,Opthea Limited,13.5,$3.41,-74.74,2020,-0.7474,3.410100000000001,,,,,,
2020-10-16,PRAX,"Praxis Precision Medicines, Inc.",19.0,$339.60,1714.84,2020,17.1484,344.8196,,,,data/raw/s1_filings/PRAX_2020-10-16_risk_factors.txt,data/raw/s1_filings/PRAX_2020-10-16_mda.txt,data/raw/s1_filings/PRAX_2020-10-16.txt
2020-10-16,TARS,"Tarsus Pharmaceuticals, Inc.",16.0,$62.52,284.06,2020,2.8406,61.4496,,,,data/raw/s1_filings/TARS_2020-10-16_risk_factors.txt,data/raw/s1_filings/TARS_2020-10-16_mda.txt,data/raw/s1_filings/TARS_2020-10-16.txt
2020-10-16,TMPM,Turmeric Acquisition Corp.,10.0,$10.03,0.3,2020,0.003,10.03,,,,,,
2020-10-15,ARRY,"Array Technologies, Inc.",22.0,$8.03,-62.91,2020,-0.6291,8.1598,,,,data/raw/s1_filings/ARRY_2020-10-15_risk_factors.txt,data/raw/s1_filings/ARRY_2020-10-15_mda.txt,data/raw/s1_filings/ARRY_2020-10-15.txt
2020-10-15,EBC,"Eastern Bankshares, Inc.",10.0,$19.84,98.35,2020,0.9835,19.835,,,,data/raw/s1_filings/EBC_2020-10-15_risk_factors.txt,data/raw/s1_filings/EBC_2020-10-15_mda.txt,data/raw/s1_filings/EBC_2020-10-15.txt
2020-10-15,MNSO,MINISO Group Holding Limited,20.0,$14.95,-24.6,2020,-0.246,15.08,,,,data/raw/s1_filings/MNSO_2020-10-15_risk_factors.txt,data/raw/s1_filings/MNSO_2020-10-15_mda.txt,data/raw/s1_filings/MNSO_2020-10-15.txt
2020-10-15,MOTN,Motion Acquisition Corp.,10.0,$10.25,2.5,2020,0.025,10.25,,,,,,
2020-10-15,TMTS,Spartacus Acquisition Corporation,10.0,$10.86,8.6,2020,0.086,10.86,,,,,,
2020-10-14,CDAKQ,"Codiak BioSciences, Inc.",15.0,-,,2020,,,,,,,,
2020-10-14,FVAM,5:01 Acquisition Corp.,10.0,$10.00,,2020,,,,,,,,
2020-10-09,IH,iHuman Inc.,12.0,$1.77,-85.79,2020,-0.8579000000000001,1.7051999999999987,,,,data/raw/s1_filings/IH_2020-10-09_risk_factors.txt,data/raw/s1_filings/IH_2020-10-09_mda.txt,data/raw/s1_filings/IH_2020-10-09.txt
2020-10-09,INTZ,Intrusion Inc.,8.0,$0.82,-89.5,2020,-0.895,0.8399999999999999,,,,data/raw/s1_filings/INTZ_2020-10-09_risk_factors.txt,data/raw/s1_filings/INTZ_2020-10-09_mda.txt,data/raw/s1_filings/INTZ_2020-10-09.txt
2020-10-09,IPOD,Social Capital Hedosophia Holdings Corp. IV,10.0,$10.03,0.3,2020,0.003,10.03,,,,,,
2020-10-09,IPOE,Social Capital Hedosophia Holdings Corp. V,10.0,$20.15,101.5,2020,1.015,20.15,,,,,,
2020-10-09,IPOF,Social Capital Hedosophia Holdings Corp. VI,10.0,$10.03,0.3,2020,0.003,10.03,,,,,,
2020-10-09,KRON,"Kronos Bio, Inc.",19.0,$0.88,-95.42,2020,-0.9542,0.8701999999999991,,,,,,
2020-10-09,LCY,"Landcadia Holdings III, Inc.",10.0,$12.17,21.7,2020,0.217,12.170000000000002,,,,,,
2020-10-09,SPRB,"Spruce Biosciences, Inc.",15.0,$0.08,-99.48,2020,-0.9948,0.0779999999999997,,,,data/raw/s1_filings/SPRB_2020-10-09_risk_factors.txt,data/raw/s1_filings/SPRB_2020-10-09_mda.txt,data/raw/s1_filings/SPRB_2020-10-09.txt
2020-10-09,STTK,"Shattuck Labs, Inc.",17.0,$7.83,-53.59,2020,-0.5359,7.889699999999999,,,,data/raw/s1_filings/STTK_2020-10-09_risk_factors.txt,data/raw/s1_filings/STTK_2020-10-09_mda.txt,data/raw/s1_filings/STTK_2020-10-09.txt
2020-10-08,ELUT,Elutia Inc.,17.0,$1.04,-93.71,2020,-0.9371,1.069300000000001,,,,data/raw/s1_filings/ELUT_2020-10-08_risk_factors.txt,data/raw/s1_filings/ELUT_2020-10-08_mda.txt,data/raw/s1_filings/ELUT_2020-10-08.txt
2020-10-08,FUBO,FuboTV Inc.,10.0,$11.84,20.1,2020,0.201,12.010000000000002,,,,data/raw/s1_filings/FUBO_2020-10-08_risk_factors.txt,data/raw/s1_filings/FUBO_2020-10-08_mda.txt,data/raw/s1_filings/FUBO_2020-10-08.txt
2020-10-08,PAIC,"Petra Acquisition, Inc.",10.0,$8.32,-16.8,2020,-0.168,8.32,,,,,,
2020-10-07,EMPW,Empower Ltd.,10.0,$9.80,-2.0,2020,-0.02,9.8,,,,,,
2020-10-07,MAAC,Montes Archimedes Acquisition Corp.,10.0,$9.35,-6.5,2020,-0.065,9.35,,,,,,
2020-10-07,NGAC,NextGen Acquisition Corporation,10.0,$8.83,-11.7,2020,-0.1169999999999999,8.83,,,,,,
2020-10-07,PACE,TPG Pace Tech Opportunities Corp.,10.0,$11.20,12.0,2020,0.12,11.2,,,,,,
2020-10-07,SQFT,"Presidio Property Trust, Inc.",5.0,$3.43,-31.1,2020,-0.311,3.4450000000000003,,,,,,
2020-10-07,TPGY,TPG Pace Beneficial Finance Corp.,10.0,$10.04,0.4,2020,0.004,10.04,,,,,,
2020-10-06,FMAC,FirstMark Horizon Acquisition Corp.,10.0,$9.63,-3.7,2020,-0.037,9.63,,,,,,
2020-10-02,APSG,Apollo Strategic Growth Capital,10.0,$7.39,-26.1,2020,-0.261,7.39,,,,,,
2020-10-02,ASAQ,Atlantic Street Acquisition Corp.,10.0,$10.03,0.3,2020,0.003,10.03,,,,,,
2020-10-02,ASO,"Academy Sports and Outdoors, Inc.",13.0,$56.46,339.92,2020,3.3992,57.189600000000006,,,,data/raw/s1_filings/ASO_2020-10-02_risk_factors.txt,data/raw/s1_filings/ASO_2020-10-02_mda.txt,data/raw/s1_filings/ASO_2020-10-02.txt
2020-10-02,AVAN,Avanti Acquisition Corp.,10.0,$10.04,0.4,2020,0.004,10.04,,,,,,
2020-10-02,CCCC,"C4 Therapeutics, Inc.",19.0,$2.89,-84.84,2020,-0.8484,2.880399999999999,,,,data/raw/s1_filings/CCCC_2020-10-02_risk_factors.txt,data/raw/s1_filings/CCCC_2020-10-02_mda.txt,data/raw/s1_filings/CCCC_2020-10-02.txt
2020-10-02,IACA,ION Acquisition Corp 1 Ltd.,10.0,$10.54,5.4,2020,0.054,10.54,,,,,,
2020-10-02,IMNM,"Immunome, Inc.",12.0,$24.49,96.33,2020,0.9633,23.5596,,,,data/raw/s1_filings/IMNM_2020-10-02_risk_factors.txt,data/raw/s1_filings/IMNM_2020-10-02_mda.txt,data/raw/s1_filings/IMNM_2020-10-02.txt
2020-10-02,ONCR,"Oncorus, Inc.",15.0,$0.13,-99.16,2020,-0.9916,0.1260000000000011,,,,,,
