ticker,first_day_close,underpricing,first_week_return,first_month_return,status
NEBC,,,,,no_data
PUBM,29.450000762939453,0.47250003814697267,-0.08794567353109224,-0.10662143346863742,ok
CND,,,,,no_data
DDMX,,,,,no_data
MUDS,,,,,no_data
RAAC,,,,,no_data
FTCV,,,,,no_data
PTIC,,,,,no_data
SBTX,,,,,no_data
SEER,56.459999084472656,1.9715788991827714,0.33988669416545897,-0.043393567174414636,ok
SGTX,,,,,no_data
YQ,211.39999389648438,19.13333275204613,0.5439924471157351,0.22989596739209675,ok
DCBO,50.0,-0.04232905573644897,-0.023600006103515626,0.23639999389648436,ok
FPAC,,,,,no_data
HTPA,,,,,no_data
KNTE,,,,,no_data
LOKB,,,,,no_data
SPFR,,,,,no_data
CAP,,,,,no_data
RSVA,,,,,no_data
TACA,,,,,no_data
SGAM,,,,,no_data
FRX,,,,,no_data
SPRQ,,,,,no_data
GNPK,,,,,no_data
HFEN,,,,,no_data
OZON,,,,,no_data
SV,,,,,no_data
TINV,,,,,no_data
VCVC,,,,,no_data
VMAR,779760.0,77975.0,-0.11426592797783934,-0.0221606648199446,ok
BREZ,,,,,no_data
ARBG,,,,,no_data
CAS,16.248411178588867,0.6248411178588867,0.0,0.0,ok
KWAC,,,,,no_data
LSAQ,,,,,no_data
MRVI,29.850000381469727,0.10555556968406395,-0.023115595485417664,-0.010720257646055779,ok
OCA,,,,,no_data
SHC,25.100000381469727,0.09130436441172725,0.11434258518990163,0.05537846089733989,ok
CHFW,,,,,no_data
IIAC,,,,,no_data
JYAC,,,,,no_data
LNFA,,,,,no_data
NGMS,,,,,no_data
OLMA,49.0,1.5789473684210527,0.016326515042051976,-0.12244897959183673,ok
RTPZ,,,,,no_data
TLS,20.290000915527344,0.19352946561925552,-0.01429279952892533,0.3760472556177948,ok
YSG,92.0,7.761904761904762,-0.04456520080566406,-0.07228262528129246,ok
PHIC,,,,,no_data
DGNS,,,,,no_data
OTRA,,,,,no_data
PIPP,,,,,no_data
ZNTE,,,,,no_data
BWAC,,,,,no_data
CFAC,,,,,no_data
DMYI,,,,,no_data
HAAC,,,,,no_data
NOAC,,,,,no_data
STIC,,,,,no_data
ADOC,,,,,no_data
TSIA,,,,,no_data
DBDR,,,,,no_data
AVIR,30.34000015258789,0.2641666730244954,0.1262359260743358,0.09822015580913387,ok
BHSE,,,,,no_data
CNXX,4.0,-0.6,0.0,0.0,ok
LU,18.904272079467773,0.4003164503309462,0.2723735161229883,0.28171196403129645,ok
NBA,,,,,no_data
SQZB,13.25,-0.171875,0.5094339622641509,1.3396226415094339,ok
ALGM,17.700000762939453,0.2642857687813895,0.2853106790613431,0.3531073294124569,ok
DSAC,,,,,no_data
LESL,434.0,24.529411764705884,0.13179726314984158,-0.04654380692864343,ok
ABST,,,,,no_data
ACIC,3.8012659549713135,-0.6198734045028687,0.04405310824079658,0.12018083671477041,ok
AJAX,,,,,no_data
BDSX,256.20001220703125,13.233334011501736,0.040593260737553365,0.3224042609302834,ok
BOAC,,,,,no_data
GATO,,,,,no_data
MAX,31.860000610351562,0.6768421373869243,0.20841177848223424,0.2219083351971789,ok
ROOT,486.0,17.0,-0.14703701945489325,-0.36185182171103397,ok
LUXA,,,,,no_data
MACU,,,,,no_data
ACAC,,,,,no_data
ATAC,,,,,no_data
EUCR,,,,,no_data
FHTX,18.1200008392334,0.1325000524520874,-0.11810161136215527,-0.07781466277351426,ok
ABCM,,,,,no_data
BLSA,,,,,no_data
CTAC,,,,,no_data
GHLD,,,,,no_data
MCFE,,,,,no_data
RICE,,,,,no_data
TEKK,,,,,no_data
YSAC,,,,,no_data
HIGA,,,,,no_data
LFTR,,,,,no_data
MSP,,,,,no_data
SPNV,,,,,no_data
SRSA,,,,,no_data
XPOA,,,,,no_data
YGMZ,,,,,no_data
DCRB,,,,,no_data
GWAC,,,,,no_data
HLXA,,,,,no_data
HZON,,,,,no_data
ALGS,371.25,23.75,0.016835016835016835,0.4080808080808081,ok
BTWN,,,,,no_data
EAR,,,,,no_data
KRBP,,,,,no_data
OPT,,,,,no_data
PRAX,417.0,20.94736842105263,0.11474821607557704,0.1323741299928807,ok
TARS,20.579999923706055,0.2862499952316284,0.14188532979197943,0.21379978789319257,ok
TMPM,,,,,no_data
